code,code_name,ipoDate,outDate,type,status
sz.002896,中大力德,2017-08-29,,1,1
sz.002897,意华股份,2017-09-07,,1,1
sz.002898,赛隆药业,2017-09-12,,1,1
sz.002899,英派斯,2017-09-15,,1,1
sz.002900,哈三联,2017-09-22,,1,1
sz.002901,大博医疗,2017-09-22,,1,1
sz.002902,铭普光磁,2017-09-29,,1,1
sz.002903,宇环数控,2017-10-13,,1,1
sz.002905,金逸影视,2017-10-16,,1,1
sz.002906,华阳集团,2017-10-13,,1,1
sz.002907,华森制药,2017-10-20,,1,1
sz.002908,德生科技,2017-10-20,,1,1
sz.002909,集泰股份,2017-10-26,,1,1
sz.002910,庄园牧场,2017-10-31,,1,1
sz.002911,佛燃能源,2017-11-22,,1,1
sz.002912,中新赛克,2017-11-21,,1,1
sz.002913,奥士康,2017-12-01,,1,1
sz.002915,中欣氟材,2017-12-05,,1,1
sz.002916,深南电路,2017-12-13,,1,1
sz.002917,金奥博,2017-12-08,,1,1
sz.002918,蒙娜丽莎,2017-12-19,,1,1
sz.002919,名臣健康,2017-12-18,,1,1
sz.002920,德赛西威,2017-12-26,,1,1
sz.002921,联诚精密,2017-12-27,,1,1
sz.002922,伊戈尔,2017-12-29,,1,1
sz.002923,润都股份,2018-01-05,,1,1
sz.002925,盈趣科技,2018-01-15,,1,1
sz.002926,华西证券,2018-02-05,,1,1
sz.002927,泰永长征,2018-02-23,,1,1
sz.002928,华夏航空,2018-03-02,,1,1
sz.002929,润建股份,2018-03-01,,1,1
sz.002930,宏川智慧,2018-03-28,,1,1
sz.002931,锋龙股份,2018-04-03,,1,1
sz.002932,明德生物,2018-07-10,,1,1
sz.002933,新兴装备,2018-08-28,,1,1
sz.002935,天奥电子,2018-09-03,,1,1
sz.002936,郑州银行,2018-09-19,,1,1
sz.002937,兴瑞科技,2018-09-26,,1,1
sz.002938,鹏鼎控股,2018-09-18,,1,1
sz.002939,长城证券,2018-10-26,,1,1
sz.002940,昂利康,2018-10-23,,1,1
sz.002941,新疆交建,2018-11-28,,1,1
sz.002942,新农股份,2018-12-05,,1,1
sz.002943,宇晶股份,2018-11-29,,1,1
sz.002945,华林证券,2019-01-17,,1,1
sz.002946,新乳业,2019-01-25,,1,1
sz.002947,恒铭达,2019-02-01,,1,1
sz.002948,青岛银行,2019-01-16,,1,1
sz.002949,华阳国际,2019-02-26,,1,1
sz.002950,奥美医疗,2019-03-11,,1,1
sz.002951,金时科技,2019-03-15,,1,1
sz.002952,亚世光电,2019-03-28,,1,1
sz.002953,日丰股份,2019-05-09,,1,1
sz.002955,鸿合科技,2019-05-23,,1,1
sz.002956,西麦食品,2019-06-19,,1,1
sz.002957,科瑞技术,2019-07-26,,1,1
sz.002958,青农商行,2019-03-26,,1,1
sz.002959,小熊电器,2019-08-23,,1,1
sz.002960,青鸟消防,2019-08-09,,1,1
sz.002961,瑞达期货,2019-09-05,,1,1
sz.002962,五方光电,2019-09-17,,1,1
sz.002963,豪尔赛,2019-10-28,,1,1
sz.002965,祥鑫科技,2019-10-25,,1,1
sz.002966,苏州银行,2019-08-02,,1,1
sz.002967,广电计量,2019-11-08,,1,1
sz.002968,新大正,2019-12-03,,1,1
sz.002969,嘉美包装,2019-12-02,,1,1
sz.002970,锐明技术,2019-12-17,,1,1
sz.002971,和远气体,2020-01-13,,1,1
sz.002972,科安达,2019-12-27,,1,1
sz.002973,侨银股份,2020-01-06,,1,1
sz.002975,博杰股份,2020-02-05,,1,1
sz.002976,瑞玛精密,2020-03-06,,1,1
